"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Jaylen Warren (PIT)","77","379","4.9","31","4","1","28","33","214","7.6","0","0","16","65.3","4.1","21.0%"
"53","Kenneth Gainwell (PHI)","53","240","4.5","13","0","4","23","29","169","7.3","0","0","17","64.9","3.8","22.2%"
"54","Eno Benjamin (NO)","77","313","4.1","45","3","2","25","34","193","7.7","0","0","13","64.6","5.0","0.1%"
"55","Melvin Gordon III (BAL)","90","318","3.5","17","0","2","25","32","223","8.9","0","2","10","62.1","6.2","0.8%"
"56","Gus Edwards (BAL)","87","433","5.0","37","4","3","0","2","0","0","0","1","9","59.3","6.6","11.7%"
"57","Chase Edmonds (TB)","68","245","3.6","28","3","2","16","24","157","9.8","1","0","13","58.2","4.5","3.0%"
"58","Darrell Henderson Jr. (FA)","70","283","4.0","23","1","3","17","22","102","6.0","0","0","10","56.5","5.7","0.1%"
"59","Dontrell Hilliard (FA)","22","145","6.6","30","3","0","21","26","177","8.4","4","0","12","56.2","4.7","0.0%"
"60","Deon Jackson (IND)","68","236","3.5","17","0","1","30","34","209","7.0","1","1","12","54.5","4.5","2.5%"
"61","Zack Moss (IND)","93","456","4.9","43","5","1","11","13","39","3.5","0","1","13","53.5","4.1","1.5%"
"62","Nyheim Hines (BUF)","24","33","1.4","9","0","1","30","37","241","8.0","1","0","16","51.4","3.2","0.9%"
"63","Joshua Kelley (LAC)","69","287","4.2","22","1","2","14","25","101","7.2","0","0","12","50.8","4.2","3.2%"
"64","JaMycal Hasty (JAC)","46","194","4.2","61","4","2","21","27","121","5.8","1","0","14","49.5","3.5","0.4%"
"65","Rashaad Penny (PHI)","57","346","6.1","41","9","2","4","5","16","4.0","0","0","5","48.2","9.6","81.0%"
"66","Zonovan Knight (NYJ)","85","300","3.5","48","3","1","13","14","100","7.7","0","0","7","46.0","6.6","6.8%"
"67","Caleb Huntley (FA)","76","366","4.8","30","3","1","2","2","3","1.5","0","0","12","42.9","3.6","0.1%"
"68","Boston Scott (PHI)","54","217","4.0","21","1","3","5","6","15","3.0","0","0","15","41.2","2.7","0.7%"
"69","Elijah Mitchell (SF)","45","279","6.2","37","2","2","3","4","7","2.3","0","0","5","40.6","8.1","46.5%"
"70","Matt Breida (NYG)","54","220","4.1","18","0","1","20","25","118","5.9","0","0","17","39.8","2.3","0.9%"
"71","Justin Jackson (FA)","42","170","4.0","27","1","1","12","19","101","8.4","1","0","15","39.1","2.6","0.2%"
"72","Kyle Juszczyk (SF)","7","26","3.7","9","0","1","19","23","200","10.5","1","0","13","34.6","2.7","0.3%"
"73","Rex Burkhead (FA)","26","80","3.1","9","0","0","37","51","204","5.5","1","0","15","34.4","2.3","5.1%"
"74","Mark Ingram II (FA)","62","233","3.8","14","0","1","16","18","68","4.3","0","2","10","34.1","3.4","0.1%"
"75","Raheem Blackshear (CAR)","23","77","3.3","16","0","3","10","12","93","9.3","0","1","13","33.0","2.5","0.4%"
