"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"67","Michael Gallup (DAL)","39","74","424","10.9","27","4","4","0","0","0","0","14","66.4","4.7","45.6%"
"68","DeAndre Carter (LV)","46","65","538","11.7","35","15","3","2","-15","0","2","17","66.3","3.9","0.6%"
"69","Josh Reynolds (DET)","38","59","479","12.6","31","9","3","0","0","0","0","12","65.9","5.5","0.7%"
"70","Corey Davis (NYJ)","32","64","536","16.8","66","13","2","0","0","0","0","13","65.6","5.0","1.6%"
"71","Marquise Goodwin (CLE)","27","42","387","14.3","38","10","4","2","5","0","0","13","63.2","4.9","0.2%"
"72","Isaiah Hodgins (NYG)","37","48","392","10.6","29","4","4","0","0","0","1","9","63.2","7.0","4.5%"
"73","Robert Woods (HOU)","53","91","527","9.9","41","6","2","0","0","0","1","17","62.7","3.7","3.9%"
"74","Darnell Mooney (CHI)","40","61","493","12.3","56","12","2","1","2","0","0","11","61.5","5.6","48.3%"
"75","Greg Dortch (ARI)","52","64","467","9.0","47","8","2","7","44","0","1","16","61.1","3.8","0.7%"
"76","Nico Collins (HOU)","37","66","481","13.0","58","11","2","0","0","0","0","10","60.1","6.0","35.3%"
"77","Romeo Doubs (GB)","42","67","425","10.1","26","7","3","1","11","0","1","13","59.6","4.6","18.8%"
"78","Chase Claypool (CHI)","46","79","451","9.8","31","8","1","9","59","0","1","15","59.0","3.9","12.5%"
"79","Nick Westbrook-Ikhine (TEN)","25","50","397","15.9","63","11","3","0","0","0","0","16","57.7","3.6","0.4%"
"80","Demarcus Robinson (LAR)","48","75","458","9.5","31","5","2","0","0","0","1","16","55.8","3.5","0.3%"
"81","Treylon Burks (TEN)","33","54","444","13.5","51","17","1","4","47","0","0","11","55.1","5.0","79.6%"
"82","Terrace Marshall Jr. (CAR)","28","47","490","17.5","43","17","1","0","0","0","0","13","55.0","4.2","1.5%"
"83","Van Jefferson (LAR)","24","44","369","15.4","39","9","3","0","0","0","0","10","54.9","5.5","5.2%"
"84","Trent Sherfield (BUF)","30","51","417","13.9","75","9","2","0","0","0","0","16","53.7","3.4","0.2%"
